,winner,loser,map,리마스터,방식,대회 레벨,대회 이름,중요도
36,전태양[TY],김준호[herO],26,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
37,유태성[경희대학교],오주영[인천대학교],63,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
38,소찬휘(김경희)[가수],홍진호[YellOw],4,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
39,손영지[관동대학교],허솔지[EXID],65,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
40,오주영[인천대학교],이제동[JD],73,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
41,이신형[InNovation],노현민[숭실대학교],28,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
42,유병언[KSK],김나나[기자],46,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
43,하연주[배우],이호진[서울대학교],59,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
44,이정현[가수],박상현[캐스터],45,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
45,최정문[서울대학교],정명훈[FanTaSy],26,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
46,이호진[서울대학교],유태성[경희대학교],58,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
47,김태성[경기대학교],이제동[JD],6,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
48,허솔지[EXID],문희상[정치인],74,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
49,김웅용[공학자],유재석[방송인],54,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
50,김준호[herO],송병구[Stork],77,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
51,조민웅[직업군인],이정현[가수],50,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
52,이영호[FlaSh],조병세[sKyHigh],58,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
53,김태성[경기대학교],김석원[부천대학교],8,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
54,김유진[sOs],이호진[서울대학교],34,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
55,송병구[Stork],이승원[해설],20,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
56,주성욱[Zest],유재석[방송인],71,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
57,이신형[InNovation],김민준[소방공무원],50,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
58,김태성[경기대학교],이영호[FlaSh],25,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
59,유태성[경희대학교],노현민[숭실대학교],43,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
60,정명훈[FanTaSy],이제동[JD],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
61,김준호[herO],하연주[배우],17,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
62,김웅용[공학자],박상현[캐스터],32,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
63,허솔지[EXID],송지효(천수연)[배우],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
64,유태성[경희대학교],유대현[해설],22,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
65,김웅용[공학자],김석원[부천대학교],73,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
66,김유진[sOs],조민웅[직업군인],25,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
67,김준호[herO],김유진[SES],68,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
68,이영호[FlaSh],이제동[JD],76,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
69,정준영[가수],이승원[해설],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
70,강민[Nal_rA],김석원[부천대학교],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
71,이승현[Life],한승엽[Yooi],33,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
72,이영호[FlaSh],정인호[해설],20,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
73,유대현[해설],유상우[인하대학교],61,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
74,김동준[해설],안현진[한라대학교],4,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
75,김택용[Bisu],임성춘[IntotheRain],23,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
76,강현종[해설],김민준[소방공무원],65,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
77,김건모[가수],강호동[방송인],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
78,마재윤[sAviOr],김석원[부천대학교],28,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
79,이영호[FlaSh],김명민[배우],24,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
80,김유진[SES],김철민[캐스터],46,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
81,김유진[sOs],남휘종[강사],62,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
82,오주영[인천대학교],김석원[부천대학교],9,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
83,이승현[Life],김준호[herO],36,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
84,김웅용[공학자],이승현[Life],52,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
85,김웅용[공학자],김동준[해설],55,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
86,김웅용[공학자],김택용[Bisu],14,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
87,김웅용[공학자],강민[Nal_rA],6,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
88,최정문[서울대학교],이제동[JD],16,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
89,최정문[서울대학교],김준호[herO],65,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
90,김웅용[공학자],최정문[서울대학교],17,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
91,김태성[경기대학교],김웅용[공학자],49,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
92,김태성[경기대학교],허솔지[EXID],64,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
93,장동민[코미디언],최정문[서울대학교],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
94,방민아[걸스데이],이완구[정치인],74,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
95,A.지아(윤영아)[리브하이],이명박[정치인],31,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
96,김태성[경기대학교],이혜리[걸스데이],79,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
97,이신형[InNovation],박인경[SW],62,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
98,하연주[배우],유태성[경희대학교],24,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
99,김웅용[공학자],노현민[숭실대학교],49,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
100,이명박[정치인],허솔지[EXID],20,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
101,장동민[코미디언],김준호[herO],25,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
102,이제동[JD],이봉주[SW],31,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
103,박보영[남서울대학교],이완구[정치인],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
104,이제동[JD],하연주[배우],11,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
105,김종민[코요테],김나나[기자],27,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
106,이승현[Life],황지영[리포터],58,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
107,박진호[동국대학교],노현민[숭실대학교],73,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
108,박찬우[숭실대학교],공서영[아나운서],63,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
109,이영호[FlaSh],이승현[Life],73,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
110,노무현[정치인],김기석[SW],23,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
111,한승엽[Yooi],정인호[해설],75,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
112,김택용[Bisu],김석원[부천대학교],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
113,김유진[sOs],정명훈[FanTaSy],41,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
114,조경아[아나운서],김윤[SW],67,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
115,오주영[인천대학교],이경아[SW],33,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
116,강현종[해설],지누(김진우)[지누션],1,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
117,김철민[캐스터],노현민[숭실대학교],63,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
118,장동민[코미디언],전태양[TY],24,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
119,남휘종[강사],송지효(천수연)[배우],36,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
120,김건모[가수],박소진[걸스데이],62,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
121,이승현[Life],김명민[배우],21,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
122,김택용[Bisu],김윤[SW],75,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
123,오주영[인천대학교],이연희[배우],48,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
124,강현종[해설],강민[Nal_rA],9,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
125,김동준[해설],손영지[관동대학교],15,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
126,이승현[Life],오주영[인천대학교],19,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
127,김유진[sOs],김성아[고려대학교],8,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
128,한승엽[Yooi],송예찬[광운대학교],44,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
129,이영호[FlaSh],마재윤[sAviOr],70,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
130,남휘종[강사],주성욱[Zest],47,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
131,오주영[인천대학교],김석원[부천대학교],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
132,김윤[SW],션(노승환)[지누션],50,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
133,김석원[부천대학교],오주영[인천대학교],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
134,최정문[서울대학교],슈(유수영)[SES],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
135,정명훈[FanTaSy],김경운[SW],47,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
136,이승현[Life],조성모[가수],76,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
137,김태성[경기대학교],강민[Nal_rA],48,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
138,김택용[Bisu],이신형[InNovation],34,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
139,조세호[코미디언],이연희[배우],52,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
140,김태성[경기대학교],이승현[Life],8,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
141,오주영[인천대학교],조현아[KSK],16,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
142,이신형[InNovation],김건모[가수],14,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
143,최정문[서울대학교],김성아[고려대학교],71,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
144,김태성[경기대학교],마재윤[sAviOr],77,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
145,남휘종[강사],박상현[캐스터],9,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
146,김윤[SW],유상우[인하대학교],63,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
147,김태성[경기대학교],오주영[인천대학교],1,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
148,이승현[Life],조타(이종화)[몬스타엑스],55,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
149,김택용[Bisu],소찬휘(김경희)[가수],18,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
150,조민웅[직업군인],이연희[배우],77,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
151,김기석[SW],허솔지[EXID],61,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
152,김동준[해설],이제동[JD],8,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
153,오주영[인천대학교],이제동[JD],77,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
154,김성아[고려대학교],김범진[강남대학교],30,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
155,김웅용[공학자],남휘종[강사],38,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
156,마재윤[sAviOr],소찬휘(김경희)[가수],39,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
157,김준호[herO],홍진호[YellOw],13,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
158,김종국[터보],허솔지[EXID],61,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
159,이제동[JD],A.지아(윤영아)[리브하이],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
160,김웅용[공학자],이정현[가수],36,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
161,최정문[서울대학교],김준호[herO],67,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
162,유태성[경희대학교],방민아[걸스데이],64,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
163,박보영[남서울대학교],김태성[경기대학교],71,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
164,강호동[방송인],송지효(천수연)[배우],18,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
165,김석원[부천대학교],하연주[배우],30,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
166,이영호[FlaSh],노현민[숭실대학교],73,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
167,이명박[정치인],김유진[sOs],32,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
168,장동민[코미디언],한승엽[Yooi],47,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
169,안현진[한라대학교],하니(안희연)[EXID],14,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
170,유재석[방송인],한승엽[Yooi],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
171,이영호[FlaSh],김태성[경기대학교],66,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
172,김유진[sOs],최정문[서울대학교],71,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
173,주성욱[Zest],송병구[Stork],17,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
174,김석원[부천대학교],이호진[서울대학교],30,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
175,김웅용[공학자],김석원[부천대학교],29,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
176,이영호[FlaSh],이제동[JD],69,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
177,김유진[sOs],김준호[herO],47,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
178,주성욱[Zest],유태성[경희대학교],62,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
179,유대현[해설],박보영[남서울대학교],30,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
180,김태성[경기대학교],박소진[걸스데이],51,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
181,김태성[경기대학교],이승현[Life],35,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
182,김태성[경기대학교],김택용[Bisu],44,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
183,김태성[경기대학교],강민[Nal_rA],56,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 플레이오프
184,최정문[서울대학교],주성욱[Zest],14,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
185,김석원[부천대학교],최정문[서울대학교],18,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
186,유재석[방송인],김석원[부천대학교],51,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
187,김유진[sOs],유재석[방송인],5,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
188,김태성[경기대학교],김유진[sOs],20,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
189,김태성[경기대학교],이영호[FlaSh],2,X,팀리그,프로리그,신한은행 프로리그 2015,라운드 결승
190,정명훈[FanTaSy],진세연(김윤정)[배우],50,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
191,하니(안희연)[EXID],김동준[해설],61,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
192,최정문[서울대학교],장동민[코미디언],18,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
193,류현진[야구선수],레이디제인(전지혜)[방송인],60,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
194,황지영[리포터],박소진[걸스데이],16,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
195,강민[Nal_rA],조현아[KSK],28,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
196,김태성[경기대학교],황지영[리포터],30,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
197,오해찬[KAIST],김지원[아나운서],59,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
198,이봉주[SW],공서영[아나운서],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
199,장동민[코미디언],김준호[코미디언],37,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
200,이승현[Life],션(노승환)[지누션],4,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
201,김석원[부천대학교],장동민[코미디언],77,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
202,조현아[KSK],이영호[FlaSh],48,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
203,오주영[인천대학교],유병언[KSK],13,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
204,션(노승환)[지누션],백지원[건국대학교],44,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
205,아이유(이지은)[가수],하동훈[가수],36,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
206,임성춘[IntotheRain],김지원[아나운서],74,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
207,이영호[FlaSh],아이유(이지은)[가수],64,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
208,장동민[코미디언],강현종[해설],24,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
209,김성아[고려대학교],황지영[리포터],64,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
210,김윤[SW],조현아[KSK],7,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
211,노예란[가톨릭대학교],아이유(이지은)[가수],66,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
212,유병언[KSK],남휘종[강사],17,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
213,홍진호[YellOw],션(노승환)[지누션],25,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
214,김동준[해설],마재윤[sAviOr],28,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
215,김윤[SW],김택용[Bisu],65,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
216,최정문[서울대학교],김동건[서울대학교],56,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
217,정명훈[FanTaSy],안현진[한라대학교],54,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
218,류현진[야구선수],채민준[캐스터],58,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
219,정명훈[FanTaSy],제임스 폴 메카트니 경[비틀즈],60,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
220,박소진[걸스데이],김태성[경기대학교],40,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
221,박찬우[숭실대학교],이정현[가수],20,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
222,이승현[Life],최정문[서울대학교],26,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
223,김택용[Bisu],오해찬[KAIST],37,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
224,이신형[InNovation],손영지[관동대학교],33,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
225,이승현[Life],안현진[한라대학교],3,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
226,남휘종[강사],오해찬[KAIST],80,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
227,김윤[SW],김지민[코미디언],51,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
228,김태성[경기대학교],고인규[Canata],14,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
229,김동건[서울대학교],이봉주[SW],41,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
230,김태성[경기대학교],노예란[가톨릭대학교],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
231,오해찬[KAIST],김대엽[Stats],74,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
232,이제동[JD],김지민[코미디언],71,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
233,김태성[경기대학교],유태성[경희대학교],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
234,이승현[Life],김준호[herO],5,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
235,이신형[InNovation],박보영[남서울대학교],28,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
236,주성욱[Zest],제임스 폴 메카트니 경[비틀즈],7,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
237,김태성[경기대학교],김석원[부천대학교],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
238,이승현[Life],이영호[FlaSh],25,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
239,이신형[InNovation],김유진[sOs],75,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
240,오주영[인천대학교],방민아[걸스데이],64,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
241,오해찬[KAIST],김선아[SW],12,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
242,허솔지[EXID],장동민[코미디언],18,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
243,김웅용[공학자],레이디제인(전지혜)[방송인],69,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
244,김준호[herO],유병언[KSK],43,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
245,유태성[경희대학교],아이유(이지은)[가수],24,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
246,하연주[배우],김제동[방송인],41,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
247,김택용[Bisu],김준호[herO],15,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
248,김동준[해설],이제동[JD],37,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
249,김웅용[공학자],최정문[서울대학교],66,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
250,김대엽[Stats],강민[Nal_rA],32,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
251,정명훈[FanTaSy],유태성[경희대학교],55,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
252,정명훈[FanTaSy],이제동[JD],17,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
253,김웅용[공학자],노예란[가톨릭대학교],80,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
254,김동건[서울대학교],이제동[JD],67,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
255,김준호[herO],김은아[숭실대학교],56,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
256,남휘종[강사],유태성[경희대학교],55,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
257,정준영[가수],강현종[해설],79,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
258,마재윤[sAviOr],허솔지[EXID],9,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
259,남휘종[강사],김준호[herO],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
